ID,min_year,max_year
1174,2001,2015
1175,1975,1977
1176,2006,2015
1177,2008,2015
1178,2001,2015
1179,2001,2015
1180,2006,2015
1181,2008,2015
1182,2001,2015
1183,2004,2008
1184,2005,2008
1185,2005,2009
1186,2009,2010
1187,2004,2009
1188,2005,2010
1189,2008,2010
1190,2011,2014
1191,2011,2014
1192,2011,2014
1193,2011,2014
1194,1970,1994
1195,1975,1994
1196,1970,1994
1197,1977,1993
1198,1970,1994
1199,1970,1994
1200,1979,1993
1201,1980,1989
1202,1977,2016
1203,1970,1981
1204,1983,1994
1205,1995,2016
1206,2000,2015
1207,2003,2015
1208,2005,2015
1209,2004,2014
1210,1978,1988
1211,1977,1988
1212,1970,1994
1213,1970,1994
1214,1972,1993
1215,1973,1994
1216,1973,1993
1217,1970,1994
1218,1973,1994
1219,1974,1990
1220,1974,1993
1221,1970,1993
1222,1973,1992
1223,1982,1987
1224,1974,2010
1225,1970,1981
1226,1984,1993
1227,1995,2009
1228,1970,1981
1229,1982,1994
1230,1995,2016
1231,1978,1991
1232,1977,1991
1233,1970,1994
1234,1970,1994
1235,1973,1981
1236,1970,1994
1237,1977,1993
1238,1970,1993
1239,1971,1994
1240,1972,1990
1241,1984,1990
1242,1970,1994
1243,1973,1991
1244,1979,1990
1245,1981,2015
1246,1970,1978
1247,1988,1994
1248,1996,2008
1249,2003,2015
1250,2005,2013
1251,2004,2016
1252,2010,2012
1253,2010,2012
1254,2010,2012
1255,2010,2012
1256,2010,2011
1257,2010,2011
1258,2013,2014
1259,2013,2014
1260,2013,2014
1261,2013,2014
1262,2013,2014
1263,2013,2014
1264,1978,1988
1265,1978,1988
1266,1973,1994
1267,1970,1994
1268,1977,1994
1269,1976,1994
1270,1982,1987
1271,2006,2014
1272,2001,2015
1273,2007,2012
1274,1973,1986
1275,1970,1994
1276,1971,1994
1277,1970,1994
1278,1971,1994
1279,1980,1994
1280,1978,1988
1281,1977,1994
1282,1970,1994
1283,1970,1994
1284,1980,1993
1285,1970,1981
1286,1982,1994
1287,1995,2016
1288,1970,1981
1289,1982,1994
1290,1995,2016
1291,1976,1980
1292,1985,1989
1293,1985,1989
1294,1984,1994
1295,1984,1993
1296,1971,1994
1297,1970,1994
1298,1970,1994
1299,1970,1994
1300,1971,1994
1301,1987,1993
1302,1971,2016
1303,1978,1991
1304,1978,1991
1305,1970,1994
1306,1970,1994
1307,1972,1993
1308,1970,1993
1309,1974,1994
1310,1972,1990
1311,1972,1988
1312,1970,1994
1313,1970,1994
1314,1970,1994
1315,1970,1994
1316,1970,1994
1317,1982,1993
1318,1984,1993
1319,1972,2016
1320,2004,2005
1321,2004,2005
1322,2003,2013
1323,2008,2012
1324,2006,2016
1325,2012,2015
1326,2005,2015
1327,2007,2015
1328,2006,2016
1329,2006,2016
1330,1974,1994
1331,1978,1994
1332,1991,1994
1333,1982,1994
1334,1982,1986
1335,2011,2015
1336,2006,2012
1337,2006,2010
1338,2004,2013
1339,2006,2007
1340,1978,1988
1341,1978,1988
1342,1971,1994
1343,1980,1994
1344,1973,1993
1345,1974,1994
1346,1973,1993
1347,1974,1989
1348,1973,1990
