ID,Binomial,Species_record_status,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Red_list_category,Year_assessed,Criteria,ED_score,RL_ID,RL_binomial,Fishbase_ID,Fishbase_binomial
77,Apteryx_owenii,Approved,Aves,Struthioniformes,Apterygidae,Apteryx,owenii,NULL,"Gould, 1847",Little spotted kiwi,NT,2016,"B1ab(iii,v); D1+2",15.0518900,22678129,Apteryx owenii,NULL,NULL
78,Callaeas_cinereus,Approved,Aves,Passeriformes,Callaeidae,Callaeas,cinereus,wilsoni,"(Gmelin, 1788)",South Island kokako,CR,2018,C2a(i); D,17.7373600,103730380,Callaeas cinereus,NULL,NULL
79,Cyanoramphus_novaezelandiae,Approved,Aves,Psittaciformes,Psittacidae,Cyanoramphus,novaezelandiae,cookii,"(Sparrman, 1787)",Red-fronted parakeet,LC,2018,NULL,2.6390400,22727981,Cyanoramphus novaezelandiae,NULL,NULL
80,Lathamus_discolor,Approved,Aves,Psittaciformes,Psittacidae,Lathamus,discolor,"","(White, 1790)",Swift parrot,CR,2018,A3ce,7.1359150,22685219,Lathamus discolor,NULL,NULL
81,Neophema_chrysogaster,Approved,Aves,Psittaciformes,Psittacidae,Neophema,chrysogaster,"","(Latham, 1790)",Orange-bellied parrot,CR,2018,"A2ace; C2a(i,ii); D",4.8599910,22685203,Neophema chrysogaster,NULL,NULL
82,Psophodes_nigrogularis,Approved,Aves,Passeriformes,Psophodidae,Psophodes,nigrogularis,nigrogularis,"Gould, 1844",Western whipbird,LC,2016,NULL,15.1094100,22705330,Psophodes nigrogularis,NULL,NULL
83,Lasiorhinus_krefftii,Approved,Mammalia,Diprotodontia,Vombatidae,Lasiorhinus,krefftii,"","(Owen, 1873)",Northern hairy-nosed wombat,CR,2015,B1ab(iii)+2ab(iii),26.1905757,11343,Lasiorhinus krefftii,NULL,NULL
84,Macropus_fuliginosus,Approved,Mammalia,Diprotodontia,Macropodidae,Macropus,fuliginosus,fuliginosus,"Desmarest, 1817",Western grey kangaroo,LC,2015,NULL,6.9120808,40563,Macropus fuliginosus,NULL,NULL
85,Macropus_giganteus,Approved,Mammalia,Diprotodontia,Macropodidae,Macropus,giganteus,tasmaniensis,"Le Souef, 1923",Eastern grey kangaroo,LC,2015,NULL,6.9081748,41513,Macropus giganteus,NULL,NULL
86,Perameles_gunnii,Approved,Mammalia,Peramelemorphia,Peramelidae,Perameles,gunnii,"",Gray 1838,Eastern barred bandicoot,VU,2014,A2bce+3bce+4bce,12.0086964,16572,Perameles gunnii,NULL,NULL
87,Setonix_brachyurus,Approved,Mammalia,Diprotodontia,Macropodidae,Setonix,brachyurus,NULL,"Quoy and Gaimard, 1830",Quokka,VU,2008,"B1ab(ii,iii)",8.9165481,20165,Setonix brachyurus,NULL,NULL
